filename,exported,new,updated,skipped,exif_updated,touched,converted_to_jpeg,sidecar_xmp,sidecar_json,sidecar_exiftool,missing,error,exiftool_warning,exiftool_error,extended_attributes_written,extended_attributes_skipped,cleanup_deleted_file,cleanup_deleted_directory,exported_album
/Users/dirk/Dropbox/EenEeuwEefde/rustoordlaan/E-000-296.jpg,1,1,0,0,1,0,0,0,0,0,0,,,,1,0,0,0,
/Users/dirk/Dropbox/EenEeuwEefde/kapperallee/E-000-140.jpg,1,1,0,0,1,0,0,0,0,0,0,,,,1,0,0,0,
/Users/dirk/Dropbox/EenEeuwEefde/schoolstraat/E-000-345.jpg,1,1,0,0,1,0,0,0,0,0,0,,,,1,0,0,0,
/Users/dirk/Dropbox/EenEeuwEefde/kaart/E-000-118.jpg,1,1,0,0,1,0,0,0,0,0,0,,,,1,0,0,0,
/Users/dirk/Dropbox/EenEeuwEefde/deventerweg/E-000-054.jpg,1,1,0,0,1,0,0,0,0,0,0,,,,1,0,0,0,
/Users/dirk/Dropbox/EenEeuwEefde/kerklaan/E-000-184.jpg,1,1,0,0,1,0,0,0,0,0,0,,,,1,0,0,0,
/Users/dirk/Dropbox/EenEeuwEefde/huisdevoorst/E-000-107.jpg,1,1,0,0,1,0,0,0,0,0,0,,,,1,0,0,0,
/Users/dirk/Dropbox/EenEeuwEefde/deventerweg/E-000-057.jpg,1,1,0,0,1,0,0,0,0,0,0,,,,1,0,0,0,
/Users/dirk/Dropbox/EenEeuwEefde/sluis/E-000-364.jpg,1,1,0,0,1,0,0,0,0,0,0,,,,1,0,0,0,
/Users/dirk/Dropbox/EenEeuwEefde/boedelhofweg/E-000-015.jpg,1,1,0,0,1,0,0,0,0,0,0,,,,1,0,0,0,
/Users/dirk/Dropbox/EenEeuwEefde/damlaan/E-000-044.jpg,1,1,0,0,1,0,0,0,0,0,0,,,,1,0,0,0,
/Users/dirk/Dropbox/EenEeuwEefde/kapperallee/E-000-168.jpg,1,1,0,0,1,0,0,0,0,0,0,,,,1,0,0,0,
/Users/dirk/Dropbox/EenEeuwEefde/zutphenseweg/E-000-426.jpg,1,1,0,0,1,0,0,0,0,0,0,,,,1,0,0,0,
/Users/dirk/Dropbox/EenEeuwEefde/gymnastieklaan/E-000-079.jpg,1,1,0,0,1,0,0,0,0,0,0,,,,1,0,0,0,
/Users/dirk/Dropbox/EenEeuwEefde/spoorbrug/E-000-396.jpg,1,1,0,0,1,0,0,0,0,0,0,,,,1,0,0,0,
/Users/dirk/Dropbox/EenEeuwEefde/schoolstraat/E-000-332.jpg,1,1,0,0,1,0,0,0,0,0,0,,,,1,0,0,0,
/Users/dirk/Dropbox/EenEeuwEefde/kerk/E-000-177.jpg,1,1,0,0,1,0,0,0,0,0,0,,,,1,0,0,0,
/Users/dirk/Dropbox/EenEeuwEefde/scheuterdijk/E-000-316.jpg,1,1,0,0,1,0,0,0,0,0,0,,,,1,0,0,0,
/Users/dirk/Dropbox/EenEeuwEefde/kokstraat/E-000-197.jpg,1,1,0,0,1,0,0,0,0,0,0,,,,1,0,0,0,
/Users/dirk/Dropbox/EenEeuwEefde/zutphenseweg/E-000-429.jpg,1,1,0,0,1,0,0,0,0,0,0,,,,1,0,0,0,
/Users/dirk/Dropbox/EenEeuwEefde/kanaal/E-000-129.jpg,1,1,0,0,1,0,0,0,0,0,0,,,,1,0,0,0,
/Users/dirk/Dropbox/EenEeuwEefde/rustoordlaan/E-000-307.jpg,1,1,0,0,1,0,0,0,0,0,0,,,,1,0,0,0,
/Users/dirk/Dropbox/EenEeuwEefde/damlaan/E-000-035.jpg,1,1,0,0,1,0,0,0,0,0,0,,,,1,0,0,0,
/Users/dirk/Dropbox/EenEeuwEefde/kapperallee/E-000-146.jpg,1,1,0,0,1,0,0,0,0,0,0,,,,1,0,0,0,
/Users/dirk/Dropbox/EenEeuwEefde/kapperallee/E-000-152.jpg,1,1,0,0,1,0,0,0,0,0,0,,,,1,0,0,0,
/Users/dirk/Dropbox/EenEeuwEefde/schoolstraat/E-000-342.jpg,1,1,0,0,1,0,0,0,0,0,0,,,,1,0,0,0,
/Users/dirk/Dropbox/EenEeuwEefde/almenseweg/E-000-004.jpg,1,1,0,0,1,0,0,0,0,0,0,,,,1,0,0,0,
/Users/dirk/Dropbox/EenEeuwEefde/boedelhofweg/E-000-027.jpg,1,1,0,0,1,0,0,0,0,0,0,,,,1,0,0,0,
/Users/dirk/Dropbox/EenEeuwEefde/kaart/E-000-120.jpg,1,1,0,0,1,0,0,0,0,0,0,,,,1,0,0,0,
/Users/dirk/Dropbox/EenEeuwEefde/huisdevoorst/E-000-098.jpg,1,1,0,0,1,0,0,0,0,0,0,,,,1,0,0,0,
/Users/dirk/Dropbox/EenEeuwEefde/schoolstraat/E-000-333.jpg,1,1,0,0,1,0,0,0,0,0,0,,,,1,0,0,0,
/Users/dirk/Dropbox/EenEeuwEefde/zutphenseweg/E-000-427.jpg,1,1,0,0,1,0,0,0,0,0,0,,,,1,0,0,0,
/Users/dirk/Dropbox/EenEeuwEefde/zutphenseweg/E-000-416.jpg,1,1,0,0,1,0,0,0,0,0,0,,,,1,0,0,0,
/Users/dirk/Dropbox/EenEeuwEefde/schoolstraat/E-000-344.jpg,1,1,0,0,1,0,0,0,0,0,0,,,,1,0,0,0,
/Users/dirk/Dropbox/EenEeuwEefde/kapperallee/E-000-153.jpg,1,1,0,0,1,0,0,0,0,0,0,,,,1,0,0,0,
/Users/dirk/Dropbox/EenEeuwEefde/molendijk/E-000-271.jpg,1,1,0,0,1,0,0,0,0,0,0,,,,1,0,0,0,
/Users/dirk/Dropbox/EenEeuwEefde/huisdevoorst/E-000-097.jpg,1,1,0,0,1,0,0,0,0,0,0,,,,1,0,0,0,
/Users/dirk/Dropbox/EenEeuwEefde/zutphenseweg/E-000-435.jpg,1,1,0,0,1,0,0,0,0,0,0,,,,1,0,0,0,
/Users/dirk/Dropbox/EenEeuwEefde/schoolstraat/E-000-334.jpg,1,1,0,0,1,0,0,0,0,0,0,,,,1,0,0,0,
/Users/dirk/Dropbox/EenEeuwEefde/damlaan/E-000-046.jpg,1,1,0,0,1,0,0,0,0,0,0,,,,1,0,0,0,
/Users/dirk/Dropbox/EenEeuwEefde/gymnastieklaan/E-000-077.jpg,1,1,0,0,1,0,0,0,0,0,0,,,,1,0,0,0,
/Users/dirk/Dropbox/EenEeuwEefde/zutphenseweg/E-000-432.jpg,1,1,0,0,1,0,0,0,0,0,0,,,,1,0,0,0,
/Users/dirk/Dropbox/EenEeuwEefde/rijksstraatweg/E-000-285.jpg,1,1,0,0,1,0,0,0,0,0,0,,,,1,0,0,0,
/Users/dirk/Dropbox/EenEeuwEefde/rustoordlaan/E-000-302.jpg,1,1,0,0,1,0,0,0,0,0,0,,,,1,0,0,0,
/Users/dirk/Dropbox/EenEeuwEefde/vanderhoevenlaan/E-000-401.jpg,1,1,0,0,1,0,0,0,0,0,0,,,,1,0,0,0,
/Users/dirk/Dropbox/EenEeuwEefde/kapperallee/E-000-157.jpg,1,1,0,0,1,0,0,0,0,0,0,,,,1,0,0,0,
/Users/dirk/Dropbox/EenEeuwEefde/kanaal/E-000-126.jpg,1,1,0,0,1,0,0,0,0,0,0,,,,1,0,0,0,
/Users/dirk/Dropbox/EenEeuwEefde/hoogbarge/E-000-087.jpg,1,1,0,0,1,0,0,0,0,0,0,,,,1,0,0,0,
/Users/dirk/Dropbox/EenEeuwEefde/kapperallee/E-000-156.jpg,1,1,0,0,1,0,0,0,0,0,0,,,,1,0,0,0,
/Users/dirk/Dropbox/EenEeuwEefde/papaverhof/E-000-277.jpg,1,1,0,0,1,0,0,0,0,0,0,,,,1,0,0,0,
/Users/dirk/Dropbox/EenEeuwEefde/dortherdijk/E-000-071.jpg,1,1,0,0,1,0,0,0,0,0,0,,,,1,0,0,0,
/Users/dirk/Dropbox/EenEeuwEefde/molendijk/E-000-270.jpg,1,1,0,0,1,0,0,0,0,0,0,,,,1,0,0,0,
/Users/dirk/Dropbox/EenEeuwEefde/harfsensesteeg/E-000-082.jpg,1,1,0,0,1,0,0,0,0,0,0,,,,1,0,0,0,
/Users/dirk/Dropbox/EenEeuwEefde/mettray/E-000-230.jpg,1,1,0,0,1,0,0,0,0,0,0,,,,1,0,0,0,
/Users/dirk/Dropbox/EenEeuwEefde/damlaan/E-000-038.jpg,1,1,0,0,1,0,0,0,0,0,0,,,,1,0,0,0,
/Users/dirk/Dropbox/EenEeuwEefde/vanderhoevenlaan/E-000-405.jpg,1,1,0,0,1,0,0,0,0,0,0,,,,1,0,0,0,
/Users/dirk/Dropbox/EenEeuwEefde/huisdevoorst/E-000-103.jpg,1,1,0,0,1,0,0,0,0,0,0,,,,1,0,0,0,
/Users/dirk/Dropbox/EenEeuwEefde/kerk/E-000-178.jpg,1,1,0,0,1,0,0,0,0,0,0,,,,1,0,0,0,
/Users/dirk/Dropbox/EenEeuwEefde/kazerne/E-000-172.jpg,1,1,0,0,1,0,0,0,0,0,0,,,,1,0,0,0,
/Users/dirk/Dropbox/EenEeuwEefde/huisdevoorst/E-000-100.jpg,1,1,0,0,1,0,0,0,0,0,0,,,,1,0,0,0,
